o,d,dis
6,113,16006.38503
6,115,16011.38038
6,37,16035.87673
6,92,16259.5058
6,1,16677.517
6,54,16801.40218
6,56,16847.19154
6,35,16920.21387
6,79,17197.23551
6,116,17206.78911
6,2,17256.58881
6,118,17363.67355
6,14,17579.54737
6,71,18292.4563
6,82,18695.72968
6,94,18985.61334
6,32,19564.91831
6,4,19737.45764
6,30,20208.99554
6,31,20318.59429
6,112,20767.47641
6,13,20768.36982
6,67,20812.73502
6,68,20913.18949
6,28,22737.92297
6,65,23283.52898
6,3,24049.99214
6,66,24545.06142
6,29,24859.08237
7,7,0.0
7,63,82.04974749
7,21,4015.012184
7,22,4019.685087
7,24,4554.738101
7,62,7298.575839
7,61,7324.790842
7,27,8291.735467
7,6,9317.561037
7,59,9344.312735
7,108,9524.701902
7,107,9531.740793
7,78,9843.353822
7,109,10009.65845
7,55,10313.12161
7,26,10313.37377
7,49,10363.43924
7,76,10579.18152
7,105,10950.61276
7,52,11229.10122
7,51,11287.38747
7,50,11321.38457
7,48,11566.82938
7,53,11728.41102
7,8,11764.85946
7,60,11788.30984
7,106,12069.34432
7,104,12215.18945
7,64,12275.55846
7,119,12342.01286
7,23,12571.17426
7,124,13327.27161
7,72,13393.90171
7,85,13413.91454
7,45,13468.83464
7,75,13496.03228
7,58,13534.74899
7,44,13662.48322
7,46,13902.06455
7,121,14122.2777
7,122,14132.9422
7,123,14164.2143
7,111,14473.19093
7,74,14618.27677
7,84,14636.98306
7,83,14742.61639
7,20,14850.54638
7,42,14981.24607
7,41,15000.8986
7,73,15291.39496
7,39,15467.42613
7,125,15779.83301
7,43,15793.16746
7,117,15845.39503
7,102,16005.27958
7,11,16089.74233
7,120,16095.97684
7,37,16130.34661
7,77,16181.76269
7,103,16232.56434
7,57,16563.67046
7,97,16629.89692
7,118,16764.87861
7,38,16915.95058
7,14,16980.75243
7,9,17068.95305
7,10,17142.22955
7,47,17261.78689
7,116,17287.21311
7,5,17556.99397
7,79,17570.02016
7,89,17634.0695
7,99,17667.55176
7,40,17695.08472
7,36,17721.14473
7,69,17890.67337
7,100,17901.73634
7,101,17933.19163
7,114,18115.49285
7,90,18142.09413
7,110,18144.53163
7,115,18367.00165
7,113,18371.997
7,81,18455.69535
7,19,18649.41249
7,35,18709.26217
7,80,18822.29533
7,82,18849.56669
7,4,19314.11633
7,87,19598.25365
7,96,20049.42239
7,13,20315.20447
7,68,20608.44906
7,17,21007.85926
7,12,21119.00388
7,18,21304.47996
7,67,21714.48871
7,34,21890.85154
7,95,21955.59703
7,86,22027.9676
7,93,22322.88964
7,70,22347.93629
7,25,22383.84956
7,91,22503.47472
7,1,22925.88438
7,88,23614.10312
7,16,23901.78784
7,15,23959.89145
7,98,24184.39295
7,33,24346.23542
7,56,25202.49703
7,92,25321.43521
7,54,25768.77197
7,2,26119.26842
7,71,27354.38571
7,29,27879.60872
7,94,28047.54276
7,32,28427.59792
7,30,28685.74767
7,31,28795.34642
7,112,29246.73856
7,28,30791.43789
7,65,31337.04389
7,3,33111.92156
7,66,33407.74103
8,8,0.0
8,23,5275.74511
8,60,5355.827166
8,26,5439.435522
8,62,6705.827135
8,111,7177.761779
8,109,8061.746808
8,6,8193.821482
8,59,8220.57318
8,58,8378.159184
8,61,8501.254538
8,20,8741.478122
8,27,8815.030862
8,24,9451.117932
8,11,9825.869571
8,106,10132.24335
8,121,10570.86832
8,124,10575.88372
8,122,10581.53282
